OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
cisco,1.3.6.1.4.1.9,,,objectidentity,,""
products,1.3.6.1.4.1.9.1,,,objectidentity,,""
gateway_server,1.3.6.1.4.1.9.1.1,,,objectidentity,,""
terminal_server,1.3.6.1.4.1.9.1.2,,,objectidentity,,""
trouter,1.3.6.1.4.1.9.1.3,,,objectidentity,,""
protocol_translator,1.3.6.1.4.1.9.1.4,,,objectidentity,,""
igs_sysID,1.3.6.1.4.1.9.1.5,,,objectidentity,,""
c3000_sysID,1.3.6.1.4.1.9.1.6,,,objectidentity,,""
c4000_sysID,1.3.6.1.4.1.9.1.7,,,objectidentity,,""
c7000_sysID,1.3.6.1.4.1.9.1.8,,,objectidentity,,""
cs_500_sysID,1.3.6.1.4.1.9.1.9,,,objectidentity,,""
c2000_sysID,1.3.6.1.4.1.9.1.10,,,objectidentity,,""
agsplus_sysID,1.3.6.1.4.1.9.1.11,,,objectidentity,,""
c7010_sysID,1.3.6.1.4.1.9.1.12,,,objectidentity,,""
c2500_sysID,1.3.6.1.4.1.9.1.13,,,objectidentity,,""
c4500_sysID,1.3.6.1.4.1.9.1.14,,,objectidentity,,""
local,1.3.6.1.4.1.9.2,,,objectidentity,,""
lsystem,1.3.6.1.4.1.9.2.1,,,objectidentity,,""
romId,1.3.6.1.4.1.9.2.1.1,displaystring,read-only,objecttype,scalar,"This variable contains a printable octet string which contains the System Bootstrap description and version identification."
whyReload,1.3.6.1.4.1.9.2.1.2,displaystring,read-only,objecttype,scalar,"This variable contains a printable octet -- cisco MIB [Page 3] -- -- Request for Comments: Draft cisco Systems, Inc. string which contains the reason why the system was last restarted."
hostName,1.3.6.1.4.1.9.2.1.3,displaystring,read-only,objecttype,scalar,"This variable represents the name of the host in printable ascii characters."
domainName,1.3.6.1.4.1.9.2.1.4,displaystring,read-only,objecttype,scalar,"This variable is the domain portion of the domain name of the host."
authAddr,1.3.6.1.4.1.9.2.1.5,ipaddress,read-only,objecttype,scalar,"This variable contains the last SNMP authorization failure IP address."
bootHost,1.3.6.1.4.1.9.2.1.6,ipaddress,read-only,objecttype,scalar,"Contains the IP address of the host that supplied the currently running software."
ping,1.3.6.1.4.1.9.2.1.7,integer,read-write,objecttype,scalar,"Supplies a way to ping a host from this entity. The ping variable takes the following instance identifiers: 1 - IP protocol ping. IP - address to ping. integer - count of packets to send. integer - size of ping packet. integer - timeout delay between packets."
freeMem,1.3.6.1.4.1.9.2.1.8,integer,read-only,objecttype,scalar,"Return the amount of free memory in bytes."
bufferElFree,1.3.6.1.4.1.9.2.1.9,integer,read-only,objecttype,scalar,"Contains the number of free buffer elements."
bufferElMax,1.3.6.1.4.1.9.2.1.10,integer,read-only,objecttype,scalar,"Contains the maximum number of buffer elements."
bufferElHit,1.3.6.1.4.1.9.2.1.11,integer,read-only,objecttype,scalar,"Contains the number of buffer element hits."
bufferElMiss,1.3.6.1.4.1.9.2.1.12,integer,read-only,objecttype,scalar,"Contains the number of buffer element misses."
bufferElCreate,1.3.6.1.4.1.9.2.1.13,integer,read-only,objecttype,scalar,"Contains the number of buffer element creates."
bufferSmSize,1.3.6.1.4.1.9.2.1.14,integer,read-only,objecttype,scalar,"Contains the size of small buffers."
bufferSmTotal,1.3.6.1.4.1.9.2.1.15,integer,read-only,objecttype,scalar,"Contains the total number of small buffers."
bufferSmFree,1.3.6.1.4.1.9.2.1.16,integer,read-only,objecttype,scalar,"Contains the number of free small buffers."
bufferSmMax,1.3.6.1.4.1.9.2.1.17,integer,read-only,objecttype,scalar,"Contains the maximum number of small buffers."
bufferSmHit,1.3.6.1.4.1.9.2.1.18,integer,read-only,objecttype,scalar,"Contains the number of small buffer hits."
bufferSmMiss,1.3.6.1.4.1.9.2.1.19,integer,read-only,objecttype,scalar,"Contains the number of small buffer misses."
bufferSmTrim,1.3.6.1.4.1.9.2.1.20,integer,read-only,objecttype,scalar,"Contains the number of small buffer trims."
bufferSmCreate,1.3.6.1.4.1.9.2.1.21,integer,read-only,objecttype,scalar,"Contains the number of small buffer creates."
