OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
fnFortiGateMib,1.3.6.1.4.1.12356.101,,,moduleidentity,,"Various non-monotonically increase Counter32 values have been changed to Gauge32."
fgModel,1.3.6.1.4.1.12356.101.1,,,objectidentity,,""
fgtVM64,1.3.6.1.4.1.12356.101.1.30,,,objectidentity,,""
fgtVM64VMX,1.3.6.1.4.1.12356.101.1.31,,,objectidentity,,""
fgtVM64SVM,1.3.6.1.4.1.12356.101.1.32,,,objectidentity,,""
fgtVM64XEN,1.3.6.1.4.1.12356.101.1.40,,,objectidentity,,""
fgtVM64AWS,1.3.6.1.4.1.12356.101.1.45,,,objectidentity,,""
fgtVM64AWSONDEMAND,1.3.6.1.4.1.12356.101.1.46,,,objectidentity,,""
fgtVM64KVm,1.3.6.1.4.1.12356.101.1.60,,,objectidentity,,""
fgtVM64HV,1.3.6.1.4.1.12356.101.1.70,,,objectidentity,,""
fgt30D,1.3.6.1.4.1.12356.101.1.304,,,objectidentity,,""
fgt30DPOE,1.3.6.1.4.1.12356.101.1.305,,,objectidentity,,""
fgt30E,1.3.6.1.4.1.12356.101.1.306,,,objectidentity,,""
fwf30D,1.3.6.1.4.1.12356.101.1.314,,,objectidentity,,""
fwf30DPOE,1.3.6.1.4.1.12356.101.1.315,,,objectidentity,,""
fwf30E,1.3.6.1.4.1.12356.101.1.316,,,objectidentity,,""
fgt50E,1.3.6.1.4.1.12356.101.1.505,,,objectidentity,,""
fwf50E,1.3.6.1.4.1.12356.101.1.506,,,objectidentity,,""
fgt51E,1.3.6.1.4.1.12356.101.1.515,,,objectidentity,,""
fwf51E,1.3.6.1.4.1.12356.101.1.516,,,objectidentity,,""
fgt60D,1.3.6.1.4.1.12356.101.1.624,,,objectidentity,,""
fgt60DPOE,1.3.6.1.4.1.12356.101.1.625,,,objectidentity,,""
fwf60D,1.3.6.1.4.1.12356.101.1.626,,,objectidentity,,""
fw60DP,1.3.6.1.4.1.12356.101.1.627,,,objectidentity,,""
fgtsoc3,1.3.6.1.4.1.12356.101.1.628,,,objectidentity,,""
fgt90D,1.3.6.1.4.1.12356.101.1.630,,,objectidentity,,""
fgt90DPOE,1.3.6.1.4.1.12356.101.1.631,,,objectidentity,,""
fwf90D,1.3.6.1.4.1.12356.101.1.632,,,objectidentity,,""
fwf90DPOE,1.3.6.1.4.1.12356.101.1.633,,,objectidentity,,""
fgt94DPOE,1.3.6.1.4.1.12356.101.1.634,,,objectidentity,,""
fgt98DPOE,1.3.6.1.4.1.12356.101.1.635,,,objectidentity,,""
fgt92D,1.3.6.1.4.1.12356.101.1.636,,,objectidentity,,""
fwf92D,1.3.6.1.4.1.12356.101.1.637,,,objectidentity,,""
fgr90D,1.3.6.1.4.1.12356.101.1.638,,,objectidentity,,""
fgr60D,1.3.6.1.4.1.12356.101.1.643,,,objectidentity,,""
fgt70D,1.3.6.1.4.1.12356.101.1.700,,,objectidentity,,""
fgt70DPOE,1.3.6.1.4.1.12356.101.1.701,,,objectidentity,,""
fgt80C,1.3.6.1.4.1.12356.101.1.800,,,objectidentity,,""
fgt80CM,1.3.6.1.4.1.12356.101.1.801,,,objectidentity,,""
fgt80D,1.3.6.1.4.1.12356.101.1.803,,,objectidentity,,""
fwf80CM,1.3.6.1.4.1.12356.101.1.810,,,objectidentity,,""
fwf81CM,1.3.6.1.4.1.12356.101.1.811,,,objectidentity,,""
fg900D,1.3.6.1.4.1.12356.101.1.900,,,objectidentity,,""
fgt100D,1.3.6.1.4.1.12356.101.1.1004,,,objectidentity,,""
fgt140D,1.3.6.1.4.1.12356.101.1.1401,,,objectidentity,,""
fgt140P,1.3.6.1.4.1.12356.101.1.1402,,,objectidentity,,""
fgt200D,1.3.6.1.4.1.12356.101.1.2005,,,objectidentity,,""
fgt240D,1.3.6.1.4.1.12356.101.1.2006,,,objectidentity,,""
fgt200DP,1.3.6.1.4.1.12356.101.1.2007,,,objectidentity,,""
fgt240DP,1.3.6.1.4.1.12356.101.1.2008,,,objectidentity,,""
fgt280D,1.3.6.1.4.1.12356.101.1.2013,,,objectidentity,,""
fgt3HD,1.3.6.1.4.1.12356.101.1.3006,,,objectidentity,,""
fgt400D,1.3.6.1.4.1.12356.101.1.4004,,,objectidentity,,""
fgt500D,1.3.6.1.4.1.12356.101.1.5004,,,objectidentity,,""
fgt600C,1.3.6.1.4.1.12356.101.1.6003,,,objectidentity,,""
fgt600D,1.3.6.1.4.1.12356.101.1.6004,,,objectidentity,,""
fgt800C,1.3.6.1.4.1.12356.101.1.8003,,,objectidentity,,""
fgt800D,1.3.6.1.4.1.12356.101.1.8004,,,objectidentity,,""
fgt1000C,1.3.6.1.4.1.12356.101.1.10004,,,objectidentity,,""
fgt1000D,1.3.6.1.4.1.12356.101.1.10005,,,objectidentity,,""
fgt1200D,1.3.6.1.4.1.12356.101.1.12000,,,objectidentity,,""
fgt1500D,1.3.6.1.4.1.12356.101.1.15000,,,objectidentity,,""
fgt1500DT,1.3.6.1.4.1.12356.101.1.15001,,,objectidentity,,""
fgt3000D,1.3.6.1.4.1.12356.101.1.30000,,,objectidentity,,""
fgt3100D,1.3.6.1.4.1.12356.101.1.31000,,,objectidentity,,""
fgt3200D,1.3.6.1.4.1.12356.101.1.32000,,,objectidentity,,""
fgt3240C,1.3.6.1.4.1.12356.101.1.32401,,,objectidentity,,""
fgt3600C,1.3.6.1.4.1.12356.101.1.36004,,,objectidentity,,""
fgt3700D,1.3.6.1.4.1.12356.101.1.37000,,,objectidentity,,""
fgt3700DX,1.3.6.1.4.1.12356.101.1.37001,,,objectidentity,,""
fgt3810D,1.3.6.1.4.1.12356.101.1.38101,,,objectidentity,,""
fgt3815D,1.3.6.1.4.1.12356.101.1.38150,,,objectidentity,,""
fgt5001C,1.3.6.1.4.1.12356.101.1.50014,,,objectidentity,,""
fgt5001D,1.3.6.1.4.1.12356.101.1.50015,,,objectidentity,,""
fosVM64,1.3.6.1.4.1.12356.101.1.90000,,,objectidentity,,""
fosVM64KVM,1.3.6.1.4.1.12356.101.1.90060,,,objectidentity,,""
fgTraps,1.3.6.1.4.1.12356.101.2,,,objectidentity,,""
fgTrapPrefix,1.3.6.1.4.1.12356.101.2.0,,,objectidentity,,""
fgTrapVpnTunUp,1.3.6.1.4.1.12356.101.2.0.301,,,notificationtype,,"Indicates that the specified VPN tunnel has been brought up."
fgTrapVpnTunDown,1.3.6.1.4.1.12356.101.2.0.302,,,notificationtype,,"The specified VPN tunnel has been brought down."
fgTrapHaSwitch,1.3.6.1.4.1.12356.101.2.0.401,,,notificationtype,,"The specified cluster member has transitioned from a slave role to a master role."
fgTrapHaStateChange,1.3.6.1.4.1.12356.101.2.0.402,,,notificationtype,,"Trap being sent when the HA cluster member changes its state"
fgTrapHaHBFail,1.3.6.1.4.1.12356.101.2.0.403,,,notificationtype,,"The heartbeat device failure count has exceeded the configured threshold."
fgTrapHaMemberDown,1.3.6.1.4.1.12356.101.2.0.404,,,notificationtype,,"The specified device (by serial number) is moving to a down state."
fgTrapHaMemberUp,1.3.6.1.4.1.12356.101.2.0.405,,,notificationtype,,"A new cluster member has joined the cluster."
fgTrapIpsSignature,1.3.6.1.4.1.12356.101.2.0.503,,,notificationtype,,"An IPS signature has been triggered"
fgTrapIpsAnomaly,1.3.6.1.4.1.12356.101.2.0.504,,,notificationtype,,"An IPS anomaly has been detected"
fgTrapIpsPkgUpdate,1.3.6.1.4.1.12356.101.2.0.505,,,notificationtype,,"The IPS signature database has been updated"
fgTrapIpsFailOpen,1.3.6.1.4.1.12356.101.2.0.506,,,notificationtype,,"The IPS network buffer is full"
fgTrapAvVirus,1.3.6.1.4.1.12356.101.2.0.601,,,notificationtype,,"A virus has been detected by the anti-virus engine"
fgTrapAvOversize,1.3.6.1.4.1.12356.101.2.0.602,,,notificationtype,,"An over-sized file has been detected by the anti-virus engine"
fgTrapAvPattern,1.3.6.1.4.1.12356.101.2.0.603,,,notificationtype,,"The anti-virus engine has blocked a file because it matched a configured pattern"
fgTrapAvFragmented,1.3.6.1.4.1.12356.101.2.0.604,,,notificationtype,,"The anti-virus engine has detected a fragmented file"
fgTrapAvEnterConserve,1.3.6.1.4.1.12356.101.2.0.605,,,notificationtype,,"The anti-virus engine has entered conservation mode due to low memory conditions"
fgTrapAvBypass,1.3.6.1.4.1.12356.101.2.0.606,,,notificationtype,,"The anti-virus engine has been bypassed due to conservation mode"
fgTrapAvOversizePass,1.3.6.1.4.1.12356.101.2.0.607,,,notificationtype,,"An over-sized file has been detected, but has been passed due to configuration"
fgTrapAvOversizeBlock,1.3.6.1.4.1.12356.101.2.0.608,,,notificationtype,,"An over-sized file has been detected and has been blocked"
fgTrapFazDisconnect,1.3.6.1.4.1.12356.101.2.0.701,,,notificationtype,,"The device has been disconnected from the FortiAnalyzer."
fgTrapWcApUp,1.3.6.1.4.1.12356.101.2.0.801,,,notificationtype,,"Indicates that the specified AP is up."
fgTrapWcApDown,1.3.6.1.4.1.12356.101.2.0.802,,,notificationtype,,"Indicates that the specified AP is down."
fgTrapFcSwUp,1.3.6.1.4.1.12356.101.2.0.901,,,notificationtype,,"Indicates that the specified switch controller session is up."
fgTrapFcSwDown,1.3.6.1.4.1.12356.101.2.0.902,,,notificationtype,,"Indicates that the specified switch controller session is down."
fgTrapServerLoadBalanceRealServerDown,1.3.6.1.4.1.12356.101.2.0.1101,,,notificationtype,,"One of servers in a Server Load Balance group goes down."
fgTrapDeviceNew,1.3.6.1.4.1.12356.101.2.0.1201,,,notificationtype,,"A new device is found."
fgVirtualDomain,1.3.6.1.4.1.12356.101.3,,,objectidentity,,""
fgVdInfo,1.3.6.1.4.1.12356.101.3.1,,,objectidentity,,""
fgVdNumber,1.3.6.1.4.1.12356.101.3.1.1,integer32,read-only,objecttype,scalar,"The number of virtual domains in vdTable"
fgVdMaxVdoms,1.3.6.1.4.1.12356.101.3.1.2,integer32,read-only,objecttype,scalar,"The maximum number of virtual domains allowed on the device as allowed by hardware and/or licensing"
fgVdEnabled,1.3.6.1.4.1.12356.101.3.1.3,fnboolstate,read-only,objecttype,scalar,"Whether virtual domains are enabled on this device"
fgVdTables,1.3.6.1.4.1.12356.101.3.2,,,objectidentity,,""
fgVdTable,1.3.6.1.4.1.12356.101.3.2.1,,no-access,objecttype,table,"A table of virtual domains configured on the device"
fgVdEntry,1.3.6.1.4.1.12356.101.3.2.1.1,,no-access,objecttype,row,"An entry containing information applicable to a particular virtual domain"
fgVdEntIndex,1.3.6.1.4.1.12356.101.3.2.1.1.1,fgvdindex,read-only,objecttype,column,"Internal virtual domain index used to uniquely identify rows in this table. This index is also used by other tables referencing a virtual domain."
fgVdEntName,1.3.6.1.4.1.12356.101.3.2.1.1.2,displaystring,read-only,objecttype,column,"The name of the virtual domain"
fgVdEntOpMode,1.3.6.1.4.1.12356.101.3.2.1.1.3,fgopmode,read-only,objecttype,column,"Operation mode of the virtual domain (NAT or Transparent)"
fgVdEntHaState,1.3.6.1.4.1.12356.101.3.2.1.1.4,fghastate,read-only,objecttype,column,"HA cluster member state of the virtual domain on this device (master, backup or standalone)"
fgVdEntCpuUsage,1.3.6.1.4.1.12356.101.3.2.1.1.5,gauge32,read-only,objecttype,column,"CPU usage of the virtual domain (percentage)."
fgVdEntMemUsage,1.3.6.1.4.1.12356.101.3.2.1.1.6,gauge32,read-only,objecttype,column,"Memory usage of the virtual domain (percentage)."
fgVdEntSesCount,1.3.6.1.4.1.12356.101.3.2.1.1.7,gauge32,read-only,objecttype,column,"Number of active sessions on the virtual domain."
fgVdEntSesRate,1.3.6.1.4.1.12356.101.3.2.1.1.8,gauge32,read-only,objecttype,column,"The session setup rate on the virtual domain."
fgVdTpTable,1.3.6.1.4.1.12356.101.3.2.2,,no-access,objecttype,table,"A table of virtual domains in transparent operation mode. This table has a sparse dependent relationship with fgVdTable."
fgVdTpEntry,1.3.6.1.4.1.12356.101.3.2.2.1,,no-access,objecttype,row,"An entry containing information applicable to a particular virtual domain in transparent mode"
fgVdTpMgmtAddrType,1.3.6.1.4.1.12356.101.3.2.2.1.1,inetaddresstype,read-only,objecttype,column,"The type of address stored in fgVdTpMgmtAddr, in compliance with INET-ADDRESS-MIB"
fgVdTpMgmtAddr,1.3.6.1.4.1.12356.101.3.2.2.1.2,inetaddress,read-only,objecttype,column,"The management IP address of the virtual domain in transparent mode, typically an IPv4 address. The address type/format is determined by fgVdTpMgmtAddrType."
fgVdTpMgmtMask,1.3.6.1.4.1.12356.101.3.2.2.1.3,inetaddressprefixlength,read-only,objecttype,column,"The address prefix length (or network mask) applied to the fgVdTpMgmtAddr"
fgSystem,1.3.6.1.4.1.12356.101.4,,,objectidentity,,""
fgSystemInfo,1.3.6.1.4.1.12356.101.4.1,,,objectidentity,,""
fgSysVersion,1.3.6.1.4.1.12356.101.4.1.1,displaystring,read-only,objecttype,scalar,"Firmware version of the device"
fgSysMgmtVdom,1.3.6.1.4.1.12356.101.4.1.2,fgvdindex,no-access,objecttype,scalar,"Index that identifies the management virtual domain. This index corresponds to the index used by fgVdTable."
fgSysCpuUsage,1.3.6.1.4.1.12356.101.4.1.3,gauge32,read-only,objecttype,scalar,"Current CPU usage (percentage)"
fgSysMemUsage,1.3.6.1.4.1.12356.101.4.1.4,gauge32,read-only,objecttype,scalar,"Current memory utilization (percentage)"
fgSysMemCapacity,1.3.6.1.4.1.12356.101.4.1.5,gauge32,read-only,objecttype,scalar,"Total physical memory (RAM) installed (KB)"
fgSysDiskUsage,1.3.6.1.4.1.12356.101.4.1.6,gauge32,read-only,objecttype,scalar,"Current hard disk usage (MB), if disk is present"
fgSysDiskCapacity,1.3.6.1.4.1.12356.101.4.1.7,gauge32,read-only,objecttype,scalar,"Total hard disk capacity (MB), if disk is present"
fgSysSesCount,1.3.6.1.4.1.12356.101.4.1.8,gauge32,read-only,objecttype,scalar,"Number of active sessions on the device"
fgSysLowMemUsage,1.3.6.1.4.1.12356.101.4.1.9,gauge32,read-only,objecttype,scalar,"Current lowmem utilization (percentage). Lowmem is memory available for the kernel's own data structures and kernel specific tables. The system can get into a bad state if it runs out of lowmem."
fgSysLowMemCapacity,1.3.6.1.4.1.12356.101.4.1.10,gauge32,read-only,objecttype,scalar,"Total lowmem capacity (KB). See fgSysLowMemUsage for the description of lowmem."
fgSysSesRate1,1.3.6.1.4.1.12356.101.4.1.11,gauge32,read-only,objecttype,scalar,"The average session setup rate over the past minute."
fgSysSesRate10,1.3.6.1.4.1.12356.101.4.1.12,gauge32,read-only,objecttype,scalar,"The average session setup rate over the past 10 minutes."
fgSysSesRate30,1.3.6.1.4.1.12356.101.4.1.13,gauge32,read-only,objecttype,scalar,"The average session setup rate over the past 30 minutes."
fgSysSesRate60,1.3.6.1.4.1.12356.101.4.1.14,gauge32,read-only,objecttype,scalar,"The average session setup rate over the past 60 minutes."
fgSysSes6Count,1.3.6.1.4.1.12356.101.4.1.15,gauge32,read-only,objecttype,scalar,"Number of active ipv6 sessions on the device"
fgSysSes6Rate1,1.3.6.1.4.1.12356.101.4.1.16,gauge32,read-only,objecttype,scalar,"The average ipv6 session setup rate over the past minute."
