OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
interfaces,1.3.6.1.2.1.2,,,objectidentity,,""
ifNumber,1.3.6.1.2.1.2.1,integer32,read-only,objecttype,scalar,"The number of network interfaces (regardless of their current state) present on this system."
ifTable,1.3.6.1.2.1.2.2,,no-access,objecttype,table,"A list of interface entries. The number of entries is given by the value of ifNumber."
ifEntry,1.3.6.1.2.1.2.2.1,,no-access,objecttype,row,"An entry containing management information applicable to a particular interface."
ifIndex,1.3.6.1.2.1.2.2.1.1,interfaceindex,read-only,objecttype,column,"A unique value, greater than zero, for each interface. It is recommended that values are assigned contiguously starting from 1. The value for each interface sub-layer must remain constant at least from one re-initialization of the entity's network management system to the next re- initialization."
ifDescr,1.3.6.1.2.1.2.2.1.2,displaystring,read-only,objecttype,column,"A textual string containing information about the interface. This string should include the name of the manufacturer, the product name and the version of the interface hardware/software."
ifType,1.3.6.1.2.1.2.2.1.3,ianaiftype,read-only,objecttype,column,"The type of interface. Additional values for ifType are assigned by the Internet Assigned Numbers Authority (IANA), through updating the syntax of the IANAifType textual convention."
ifMtu,1.3.6.1.2.1.2.2.1.4,integer32,read-only,objecttype,column,"The size of the largest packet which can be sent/received on the interface, specified in octets. For interfaces that are used for transmitting network datagrams, this is the size of the largest network datagram that can be sent on the interface."
ifSpeed,1.3.6.1.2.1.2.2.1.5,gauge32,read-only,objecttype,column,"An estimate of the interface's current bandwidth in bits per second. For interfaces which do not vary in bandwidth or for those where no accurate estimation can be made, this object should contain the nominal bandwidth. If the bandwidth of the interface is greater than the maximum value reportable by this object then this object should report its maximum value (4,294,967,295) and ifHighSpeed must be used to report the interace's speed. For a sub-layer which has no concept of bandwidth, this object should be zero."
ifPhysAddress,1.3.6.1.2.1.2.2.1.6,physaddress,read-only,objecttype,column,"The interface's address at its protocol sub-layer. For example, for an 802.x interface, this object normally contains a MAC address. The interface's media-specific MIB must define the bit and byte ordering and the format of the value of this object. For interfaces which do not have such an address (e.g., a serial line), this object should contain an octet string of zero length."
