OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
ip,1.3.6.1.2.1.4,,,objectidentity,,""
ipForwarding,1.3.6.1.2.1.4.1,integer,read-write,objecttype,scalar,"The indication of whether this entity is acting as an IPv4 router in respect to the forwarding of datagrams received by, but not addressed to, this entity. IPv4 routers forward datagrams. IPv4 hosts do not (except those source-routed via the host). When this object is written, the entity should save the change to non-volatile storage and restore the object from non-volatile storage upon re-initialization of the system. Note: a stronger requirement is not used because this object was previously defined. Enumeration: 'forwarding': 1, 'notForwarding': 2."
ipDefaultTTL,1.3.6.1.2.1.4.2,integer32,read-write,objecttype,scalar,"The default value inserted into the Time-To-Live field of the IPv4 header of datagrams originated at this entity, whenever a TTL value is not supplied by the transport layer protocol. When this object is written, the entity should save the change to non-volatile storage and restore the object from non-volatile storage upon re-initialization of the system. Note: a stronger requirement is not used because this object was previously defined."
ipInReceives,1.3.6.1.2.1.4.3,counter32,read-only,objecttype,scalar,"The total number of input datagrams received from interfaces, including those received in error. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInRecieves."
ipInHdrErrors,1.3.6.1.2.1.4.4,counter32,read-only,objecttype,scalar,"The number of input datagrams discarded due to errors in their IPv4 headers, including bad checksums, version number mismatch, other format errors, time-to-live exceeded, errors discovered in processing their IPv4 options, etc. This object has been deprecated as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInHdrErrors."
ipInAddrErrors,1.3.6.1.2.1.4.5,counter32,read-only,objecttype,scalar,"The number of input datagrams discarded because the IPv4 address in their IPv4 header's destination field was not a valid address to be received at this entity. This count includes invalid addresses (e.g., 0.0.0.0) and addresses of unsupported Classes (e.g., Class E). For entities which are not IPv4 routers, and therefore do not forward datagrams, this counter includes datagrams discarded because the destination address was not a local address. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInAddrErrors."
ipForwDatagrams,1.3.6.1.2.1.4.6,counter32,read-only,objecttype,scalar,"The number of input datagrams for which this entity was not their final IPv4 destination, as a result of which an attempt was made to find a route to forward them to that final destination. In entities which do not act as IPv4 routers, this counter will include only those packets which were Source-Routed via this entity, and the Source-Route option processing was successful. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInForwDatagrams."
ipInUnknownProtos,1.3.6.1.2.1.4.7,counter32,read-only,objecttype,scalar,"The number of locally-addressed datagrams received successfully but discarded because of an unknown or unsupported protocol. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInUnknownProtos."
ipInDiscards,1.3.6.1.2.1.4.8,counter32,read-only,objecttype,scalar,"The number of input IPv4 datagrams for which no problems were encountered to prevent their continued processing, but which were discarded (e.g., for lack of buffer space). Note that this counter does not include any datagrams discarded while awaiting re-assembly. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsInDiscards."
ipInDelivers,1.3.6.1.2.1.4.9,counter32,read-only,objecttype,scalar,"The total number of input datagrams successfully delivered to IPv4 user-protocols (including ICMP). This object has been deprecated as a new IP version neutral table has been added. It is loosely replaced by ipSystemStatsIndelivers."
ipOutRequests,1.3.6.1.2.1.4.10,counter32,read-only,objecttype,scalar,"The total number of IPv4 datagrams which local IPv4 user protocols (including ICMP) supplied to IPv4 in requests for transmission. Note that this counter does not include any datagrams counted in ipForwDatagrams. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsOutRequests."
ipOutDiscards,1.3.6.1.2.1.4.11,counter32,read-only,objecttype,scalar,"The number of output IPv4 datagrams for which no problem was encountered to prevent their transmission to their destination, but which were discarded (e.g., for lack of buffer space). Note that this counter would include datagrams counted in ipForwDatagrams if any such packets met this (discretionary) discard criterion. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsOutDiscards."
ipOutNoRoutes,1.3.6.1.2.1.4.12,counter32,read-only,objecttype,scalar,"The number of IPv4 datagrams discarded because no route could be found to transmit them to their destination. Note that this counter includes any packets counted in ipForwDatagrams which meet this `no-route' criterion. Note that this includes any datagrams which a host cannot route because all of its default routers are down. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsOutNoRoutes."
ipReasmTimeout,1.3.6.1.2.1.4.13,integer32,read-only,objecttype,scalar,"The maximum number of seconds that received fragments are held while they are awaiting reassembly at this entity."
ipReasmReqds,1.3.6.1.2.1.4.14,counter32,read-only,objecttype,scalar,"The number of IPv4 fragments received which needed to be reassembled at this entity. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsReasmReqds."
ipReasmOKs,1.3.6.1.2.1.4.15,counter32,read-only,objecttype,scalar,"The number of IPv4 datagrams successfully re-assembled. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsReasmOKs."
ipReasmFails,1.3.6.1.2.1.4.16,counter32,read-only,objecttype,scalar,"The number of failures detected by the IPv4 re-assembly algorithm (for whatever reason: timed out, errors, etc). Note that this is not necessarily a count of discarded IPv4 fragments since some algorithms (notably the algorithm in RFC 815) can lose track of the number of fragments by combining them as they are received. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsReasmFails."
ipFragOKs,1.3.6.1.2.1.4.17,counter32,read-only,objecttype,scalar,"The number of IPv4 datagrams that have been successfully fragmented at this entity. This object has been deprecated, as a new IP version-neutral table has been added. It is loosely replaced by ipSystemStatsOutFragOKs."
